files,total_read,total_written,bytes_chunked,chunk_us,global_us,duet,setup_time,cpu_user,cpu_sys,meta_time
50,2199681987,2048061616,2048000450,46190085,66523544,TRUE,67247,43092,2136,2169608
100,4228111566,4096121545,4096001350,90811635,121840689,TRUE,55388,86700,3732,889386
150,6326291076,6144184891,6144002700,137138995,171109950,TRUE,67325,129112,5908,540509
200,8440255572,8192246330,8192004500,186204702,239786515,TRUE,85261,172724,8060,3595969
250,10550756443,10240307884,10240006750,232350288,288430810,TRUE,73358,215884,10284,888621
300,12675661669,12288370543,12288009450,275728536,341977517,TRUE,85388,259268,11784,302356
350,14781867974,14336431992,14336012600,327171969,406373338,TRUE,73020,302128,15352,2390379
400,16900507006,16384494921,16384016200,376948231,463839109,TRUE,91296,345624,17336,891950
450,19014460625,18432557241,18432020250,446635468,527502302,TRUE,73332,389356,20604,353923
500,21117625672,20480621864,20480024750,521824090,614083029,TRUE,97254,432868,23664,679044
550,23231484249,22528686115,22528029700,597682522,687516257,TRUE,115059,476388,26312,671884
600,25352084954,24576751384,24576035100,657828459,756282360,TRUE,97196,519356,28812,3168995
650,27458726039,26624816635,26624040950,733694585,818297149,TRUE,87126,562992,31716,895530
700,29558861976,28649718291,28648883354,790666016,893770195,TRUE,105265,605632,35500,4204715
750,31691888764,30720949070,30720054000,861562968,950767757,TRUE,85129,649916,38212,607949
800,33812688169,32769014007,32768061200,927264959,1008799388,TRUE,97075,693400,40392,268253
850,35925302183,34817080961,34816068850,981597461,1083098116,TRUE,67299,736284,44000,3185260
900,38028469221,36865148515,36864076950,1065706651,1136835465,TRUE,79184,779888,46056,926899
50,2121760947,2048185291,2048000450,32403796,63985717,FALSE,67531,30408,1872,0
100,4238599593,4096630047,4096001350,66106144,107150325,FALSE,79628,60900,4080,0
150,6345614395,6145314097,6144002700,96811944,174452285,FALSE,79637,91340,5244,0
200,8465197425,8194277384,8192004500,130828134,213444333,FALSE,91384,122212,7008,0
250,10572573649,10243500895,10240006750,163018668,265646733,FALSE,73575,152832,8352,0
300,12845725274,12292909474,12288009450,195107446,312125953,FALSE,55533,183696,10076,0
350,14809000402,14342671977,14336012600,226423626,358257158,FALSE,73595,213932,12132,0
400,16914534042,16392675976,16384016200,261165042,418514833,FALSE,85801,244616,15668,0
450,19024296972,18442865077,18432020250,292844108,465965336,FALSE,79682,275020,17472,0
500,21139205533,20493387333,20480024750,326035868,511073842,FALSE,75137,305572,19704,0
550,23260717016,22544155890,22528029700,357482731,570125759,FALSE,87092,336104,20476,0
600,25363924295,24595100893,24576035100,392311437,622935645,FALSE,79688,366412,24372,0
650,27485919592,26646404424,26624040950,424114166,667731038,FALSE,75149,396396,27168,0
700,29583487214,28697945620,28672047250,453479852,711678844,FALSE,85472,426892,26156,0
750,31689426335,30749652469,30720054000,491071220,775889579,FALSE,85776,457568,31520,0
800,33797196366,32801721845,32768061200,527345143,812744623,FALSE,81179,488992,31232,0
850,35916016976,34854038969,34816068850,569838359,876802980,FALSE,85022,519016,34600,0
900,38038674416,36906477896,36864076950,612333214,920926459,FALSE,101358,549092,37396,0

