files,total_read,total_written,bytes_chunked,chunk_us,global_us,duet,setup_time,cpu_user,cpu_sys,meta_time
50,184857275,118791615,118834620,3448214,9400382,TRUE,79212,2508,192,161478
100,355693515,230111055,230191457,6917559,13023929,TRUE,67287,4828,424,286096
150,523994172,338343166,338455216,9924298,18725498,TRUE,79158,7144,528,618816
200,698169287,445427689,445572817,14580201,23364606,TRUE,73098,9236,768,726759
250,892842050,570090431,570262558,16881115,29384541,TRUE,75220,11960,916,1020196
300,1066493868,679357056,679565534,21357413,32785490,TRUE,69336,14264,1120,1225963
350,1268958121,809036457,809301139,24051782,41423563,TRUE,79145,17076,1292,1454338
400,1443528730,920485336,920779507,32611188,47662686,TRUE,85106,19376,1504,1996438
450,1631705907,1040695413,1041028451,31351312,52952047,TRUE,67409,21832,1796,2393832
500,1806890323,1156054588,1156430704,38741520,57972565,TRUE,85110,24356,1920,2701947
550,1971919532,1266256557,1266681925,38320276,61603205,TRUE,79151,26640,2040,3132926
600,2144596550,1374899660,1375375538,43820387,66885776,TRUE,73188,28884,2364,3534519
650,2308934648,1481489439,1481990639,49552703,72731324,TRUE,73348,31172,2408,4009151
700,2504519276,1608057569,1608601027,54562107,78119018,TRUE,73381,33760,2992,4664482
750,2680755585,1718941899,1719520329,57199069,84671543,TRUE,85081,36548,2752,5207491
800,2849241719,1824226206,1824832088,59017849,89970917,TRUE,73257,38596,2884,6498471
850,3025180341,1934852175,1935495305,59444291,95280970,TRUE,97067,40776,3204,6564420
900,3206657890,2051561676,2052245022,68018496,102197203,TRUE,79144,43268,3488,7305213
50,2125508301,2048183956,2048000000,34851717,53759372,FALSE,151074,30584,2084,0
100,4236683417,4096622033,4096000000,69970034,103159111,FALSE,174835,61372,4092,0
150,6791977759,6145258112,6144000000,104674528,156617468,FALSE,180887,91676,6312,0
200,8452072849,8194231475,8192000000,137919104,205969250,FALSE,186837,122308,8288,0
250,10572662359,10243429535,10240000000,173149907,258285241,FALSE,180881,152856,10456,0
300,12685684922,12292832550,12288000000,206986715,310812312,FALSE,186883,183488,12088,0
350,14788868522,14342526730,14336000000,240347517,363999906,FALSE,181019,214244,14072,0
400,16910546659,16392478854,16384000000,276487245,414429971,FALSE,186851,244592,16368,0
450,19012296820,18442617190,18432000000,308819894,464963685,FALSE,168986,274860,18792,0
500,21142094601,20493063727,20480000000,343663525,513186239,FALSE,156997,305940,20460,0
550,23250403785,22543776258,22528000000,381411734,562729988,FALSE,192786,336312,23708,0
600,25357336683,24594639193,24576000000,416456443,619668384,FALSE,186876,367048,25144,0
650,27471268943,26645854279,26624000000,449259589,666522898,FALSE,157019,397956,28216,0
700,29587625964,28697312561,28672000000,486048458,711640894,FALSE,151224,427904,30628,0
750,31687251869,30748922142,30720000000,521450157,771105853,FALSE,150914,458148,33828,0
800,33803362035,32800876751,32768000000,557410167,822452293,FALSE,145011,488972,34472,0
850,35920058405,34853082318,34816000000,593502270,876547343,FALSE,168945,520108,37636,0
900,38029578078,36905471478,36864000000,630186648,932555857,FALSE,144924,551000,39192,0



