files,total_read,total_written,bytes_chunked,chunk_us,global_us,duet,setup_time,cpu_user,cpu_sys,meta_time
50,81369412,40762040,40701090,1292985,5141968,TRUE,73204,796,56,197666
100,192988250,96638622,96518701,2925877,8061110,TRUE,79154,1940,144,309156
150,301407074,150924142,150744497,4544126,12309881,TRUE,85183,3088,264,615862
200,386990134,193816909,193576987,6008605,14449781,TRUE,67393,3936,300,727048
250,498403402,249656153,249357349,8095834,18885838,TRUE,79167,5152,332,935808
300,578829100,289895282,289537430,8926235,21831948,TRUE,67341,6068,272,1180262
350,701904940,351515664,351099926,10681879,24794526,TRUE,63238,7292,464,1619785
400,809678758,405404737,404929491,14087901,29792252,TRUE,61455,8448,520,1921722
450,888163886,444699481,444163863,13825867,31088102,TRUE,73433,9224,544,2333939
500,985630335,493585358,492990951,15076702,35275603,TRUE,73385,10268,584,2820623
550,1080672718,541105352,540451047,17039044,37797292,TRUE,67200,11180,672,3421569
600,1186005020,593930045,593215502,18316232,41192747,TRUE,79286,12380,696,3746276
650,1278139902,640162004,639389439,20057163,41504145,TRUE,73157,13208,824,4230728
700,1362699274,682541887,681710085,20578019,45561633,TRUE,73235,14104,876,4576048
750,1456146232,729274986,728384412,22692677,49427160,TRUE,73200,15148,800,5238195
800,1563480002,783025570,782075873,26619226,51558001,TRUE,69276,16132,956,6037982
850,1674417666,838488961,837479169,26552769,56090344,TRUE,70280,17356,1048,6709602
900,1806117296,904552498,903484632,32455492,60991940,TRUE,73103,18936,1076,7300350
50,2137466559,2048184783,2048000000,34242339,54759561,FALSE,162850,30460,2020,0
100,4190457262,4096623712,4096000000,68928271,104105256,FALSE,180863,60876,4016,0
150,6296650311,6145293951,6144000000,104809829,155761058,FALSE,192841,91140,6076,0
200,8389569455,8194236396,8192000000,138234315,206908930,FALSE,163276,121584,8040,0
250,10490703025,10243433379,10240000000,173878624,257237538,FALSE,156997,152136,10064,0
300,12601076115,12292838319,12288000000,208267165,309660188,FALSE,186799,182532,12172,0
350,14700549404,14342531675,14336000000,242307533,356970411,FALSE,180809,213080,14204,0
400,16832721186,16392486106,16384000000,279307099,409585358,FALSE,174883,243684,16280,0
450,18902384525,18442620166,18432000000,312413925,466013227,FALSE,168914,274464,18416,0
500,20995880948,20493071463,20480000000,346864104,517163329,FALSE,180792,304716,20872,0
550,23090220166,22543771950,22528000000,381736894,565884388,FALSE,180940,335612,22976,0
600,25197549004,24594646132,24576000000,418932714,616973462,FALSE,174738,365908,25708,0
650,27495460022,26645813050,26624000000,454579669,669388022,FALSE,174900,396484,27732,0
700,29392648976,28697315203,28672000000,486392501,719838486,FALSE,204838,427000,30136,0
750,31490818804,30748924811,30720000000,522212044,771165535,FALSE,354549,457664,32416,0
800,33583995823,32800913345,32768000000,558522611,826086323,FALSE,186805,488296,35864,0
850,35680875634,34853125101,34816000000,590994009,871857882,FALSE,186867,519252,37616,0
900,37778756130,36905429073,36864000000,625020209,923309735,FALSE,168825,549148,40168,0



