files,total_read,total_written,bytes_chunked,chunk_us,global_us,duet,setup_time,cpu_user,cpu_sys,meta_time
50,2199681987,2048061616,2048000450,46190085,66523544,TRUE,67247,43092,2136,2169608
100,4228111566,4096121545,4096001350,90811635,121840689,TRUE,55388,86700,3732,889386
150,6326291076,6144184891,6144002700,137138995,171109950,TRUE,67325,129112,5908,540509
200,8440255572,8192246330,8192004500,186204702,239786515,TRUE,85261,172724,8060,3595969
250,10550756443,10240307884,10240006750,232350288,288430810,TRUE,73358,215884,10284,888621
300,12675661669,12288370543,12288009450,275728536,341977517,TRUE,85388,259268,11784,302356
350,14781867974,14336431992,14336012600,327171969,406373338,TRUE,73020,302128,15352,2390379
400,16900507006,16384494921,16384016200,376948231,463839109,TRUE,91296,345624,17336,891950
450,19014460625,18432557241,18432020250,446635468,527502302,TRUE,73332,389356,20604,353923
500,21117625672,20480621864,20480024750,521824090,614083029,TRUE,97254,432868,23664,679044
550,23231484249,22528686115,22528029700,597682522,687516257,TRUE,115059,476388,26312,671884
600,25352084954,24576751384,24576035100,657828459,756282360,TRUE,97196,519356,28812,3168995
650,27458726039,26624816635,26624040950,733694585,818297149,TRUE,87126,562992,31716,895530
700,29558861976,28649718291,28648883354,790666016,893770195,TRUE,105265,605632,35500,4204715
750,31691888764,30720949070,30720054000,861562968,950767757,TRUE,85129,649916,38212,607949
800,33812688169,32769014007,32768061200,927264959,1008799388,TRUE,97075,693400,40392,268253
850,35925302183,34817080961,34816068850,981597461,1083098116,TRUE,67299,736284,44000,3185260
900,38028469221,36865148515,36864076950,1065706651,1136835465,TRUE,79184,779888,46056,926899
50,2137466559,2048184783,2048000000,34242339,54759561,FALSE,162850,30460,2020,0
100,4190457262,4096623712,4096000000,68928271,104105256,FALSE,180863,60876,4016,0
150,6296650311,6145293951,6144000000,104809829,155761058,FALSE,192841,91140,6076,0
200,8389569455,8194236396,8192000000,138234315,206908930,FALSE,163276,121584,8040,0
250,10490703025,10243433379,10240000000,173878624,257237538,FALSE,156997,152136,10064,0
300,12601076115,12292838319,12288000000,208267165,309660188,FALSE,186799,182532,12172,0
350,14700549404,14342531675,14336000000,242307533,356970411,FALSE,180809,213080,14204,0
400,16832721186,16392486106,16384000000,279307099,409585358,FALSE,174883,243684,16280,0
450,18902384525,18442620166,18432000000,312413925,466013227,FALSE,168914,274464,18416,0
500,20995880948,20493071463,20480000000,346864104,517163329,FALSE,180792,304716,20872,0
550,23090220166,22543771950,22528000000,381736894,565884388,FALSE,180940,335612,22976,0
600,25197549004,24594646132,24576000000,418932714,616973462,FALSE,174738,365908,25708,0
650,27495460022,26645813050,26624000000,454579669,669388022,FALSE,174900,396484,27732,0
700,29392648976,28697315203,28672000000,486392501,719838486,FALSE,204838,427000,30136,0
750,31490818804,30748924811,30720000000,522212044,771165535,FALSE,354549,457664,32416,0
800,33583995823,32800913345,32768000000,558522611,826086323,FALSE,186805,488296,35864,0
850,35680875634,34853125101,34816000000,590994009,871857882,FALSE,186867,519252,37616,0
900,37778756130,36905429073,36864000000,625020209,923309735,FALSE,168825,549148,40168,0
