files,total_read,total_written,bytes_chunked,chunk_us,global_us,chunk_total
50,2125508301,2048183956,2048000000,34851717,53759372,0.648290999381
100,4236683417,4096622033,4096000000,69970034,103159111,0.678272944791
150,6791977759,6145258112,6144000000,104674528,156617468,0.668345168241
200,8452072849,8194231475,8192000000,137919104,205969250,0.669610167537
250,10572662359,10243429535,10240000000,173149907,258285241,0.670382505518
300,12685684922,12292832550,12288000000,206986715,310812312,0.665954040456
350,14788868522,14342526730,14336000000,240347517,363999906,0.66029554689
400,16910546659,16392478854,16384000000,276487245,414429971,0.667150699388
450,19012296820,18442617190,18432000000,308819894,464963685,0.664180674669
500,21142094601,20493063727,20480000000,343663525,513186239,0.669666290487
550,23250403785,22543776258,22528000000,381411734,562729988,0.677788179293
600,25357336683,24594639193,24576000000,416456443,619668384,0.67206340319
650,27471268943,26645854279,26624000000,449259589,666522898,0.674034741114
700,29587625964,28697312561,28672000000,486048458,711640894,0.682996806533
750,31687251869,30748922142,30720000000,521450157,771105853,0.67623680325
800,33803362035,32800876751,32768000000,557410167,822452293,0.677741641362
850,35920058405,34853082318,34816000000,593502270,876547343,0.677090946359
900,38029578078,36905471478,36864000000,630186648,932555857,0.675762897493
50,2125484045,2048182458,2048000000,34763956,52807612,0.658313350734
100,4225001090,4096621032,4096000000,68891250,105153009,0.655152436009
150,6337806825,6145290171,6144000000,104203573,155575841,0.66979276686
200,8445443841,8194230794,8192000000,139006641,206106565,0.674440627352
250,10550794291,10243429368,10240000000,173145205,261267418,0.662712581329
300,12663928885,12292834681,12288000000,207657717,310126534,0.669590293748
350,14768682450,14342531683,14336000000,241323260,365502832,0.66025004151
400,16887491230,16392480416,16384000000,277270199,410429901,0.675560426578
450,18995018325,18442619270,18432000000,311306664,462289853,0.673401464427
500,21109871887,20493068945,20480000000,347076767,508240546,0.682898619033
550,23224987091,22543772670,22528000000,381148436,565538801,0.673956296767
600,25330216457,24594642336,24576000000,415997633,617464594,0.673719006794
650,27438264847,26645859583,26624000000,451546574,670828583,0.673117671851
700,29555563885,28697312894,28672000000,489484839,720695285,0.679184183923
750,31663575061,30748923090,30720000000,521574039,773124318,0.674631526724
800,33766062314,32800900797,32768000000,556416672,825469796,0.674060607301
850,35877677106,34853110987,34816000000,592819347,874826788,0.677641968824
900,38116793821,36905353707,36864000000,627348133,925226182,0.67804840071
50,2102033630,2048183997,2048000000,34485565,54783119,0.629492544957
100,4213877978,4096622601,4096000000,68656805,105081322,0.653368302694
150,6319316760,6145292267,6144000000,102757539,155381440,0.661324409144
200,8430250357,8194234690,8192000000,136602242,205849474,0.663602579815
250,10549772017,10243431115,10240000000,171137996,257219763,0.665337663032
300,12662825691,12292836448,12288000000,206057600,306707851,0.67183673104
350,14785000032,14342529738,14336000000,240225576,358017841,0.670987723207
400,16896129532,16392481718,16384000000,271997673,408358364,0.666075920022
450,19014459485,18442623168,18432000000,307961689,461768454,0.666917989595
